product_id,name,root_price_vnd,discounted_price_vnd,battery_capacity_wh,cpu_threads,cpu_base_clock_ghz,ram_type,cpu_model,manufacturer,laptop_height_mm,laptop_width_mm,cpu_boost_clock_ghz,cpu_cores,ram_speed,refresh_rate_hz,ram_slots,vga_type,laptop_depth_mm,vga_vram_gb,laptop_camera
0220042002694__l38_20250402-105034,Laptop HP 15 fd0015TU i7 1355U/16GB/512GB/Win11 (A19C5PA),21990000,20190000,41,12,1.7,ddr4,1355u,hp,236,359.8,5,10,3200,60,2,card tích hợp,18.6,0,HD
0220042002696__l11_20250402-105034,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (25P2312),16990000,16490000,41,12,1.3,ddr4,1235u,dell,235.56,358.5,4.4,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002697__l142_20250402-105034,Laptop Dell Inspiron 14 5440 Core 7 150U/16GB/1TB/OfficeHS/Win11 (7FN5J),26990000,24990000,54,12,2.7,ddr5,150u,dell,226.15,314,5.4,10,5200,60,2,card tích hợp,18.9,0,HD
0220042002702__l31_20250402-105034,Laptop HP 245 G10 R5 7530U/8GB/512GB/Win11 (A20TDPT),14590000,12690000,41,12,2,ddr4,7530u,hp,215,324,4.5,6,3200,60,2,card tích hợp,17.9,0,HD
0220042002703__l10_20250402-105034,Laptop HP 15 fd0303TU i3 1315U/8GB/512GB/Win11 (A2NL4PA),13490000,11490000,41,8,1.2,ddr4,1315u,hp,236,359.8,4.5,6,3200,60,2,card tích hợp,18.6,0,HD
0220042002707__l231_20250402-105034,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/OfficeHS/Win11 (71026454),22390000,21490000,54,12,1.7,ddr4,1355u,dell,235.5,358.5,5,10,2666,120,2,card tích hợp,18.9,0,HD
0220042002709__l213_20250402-105034,Laptop HP Spectre X360 14 eu0050TU Ultra 7 155H/32GB/1TB/Win11 (A19BLPA),56990000,56990000,68,22,1.4,lpddr5,155h,hp,220.4,313.7,4.8,16,7467,120,0,card tích hợp,16.9,0,Full HD
0220042002712__l34_20250402-105034,Laptop Acer Aspire Lite 14 51M 59BN i5 1235U/16GB/512GB/Win11 (NX.KTXSV.001),14990000,14690000,58,12,1.3,ddr5,1235u,acer,218,313.3,4.4,10,4800,60,2,card tích hợp,16.9,0,Full HD
0220042002713__l248_20250402-105034,Laptop Lenovo Gaming Legion Pro 7 16IRX9H i9 14900HX/32GB/1TB/16GB RTX4090/240Hz/Win11 (83DE001MVN),106990000,102690000,99.9,32,2.2,ddr5,14900hx,lenovo,262.1,363.5,5.8,24,5600,240,2,card rời,25.9,16,Full HD
0220042002732__l208_20250402-105034,Laptop HP Envy X360 14 fa0048AU R7 8840HS/16GB/512GB/Win11 (A19BQPA),31690000,28290000,59,16,3.3,lpddr5,8840hs,hp,218.9,313.3,5.1,8,6400,60,0,card tích hợp,16.9,0,Full HD
0220042002719__l173_20250402-105034,Laptop Lenovo Ideapad Slim 5 14IMH9 Ultra 7 155H/32GB/512GB/Win11 (83DA001YVN),27690000,25690000,57,22,1.4,lpddr5,155h,lenovo,221,312,4.8,16,7467,60,0,card tích hợp,16.9,0,Full HD
0220042002721__l90_20250402-105034,Laptop Lenovo Ideapad Slim 5 15IRU9 Core 5 120U/16GB/512GB/Win11 (83D0000EVN),21690000,17690000,57,12,1.4,lpddr5,120u,lenovo,238.21,343.5,5,10,5200,60,0,card tích hợp,17.42,0,Full HD
0220042002723__l137_20250402-105034,Laptop Lenovo ThinkPad E14 Gen 6 Ultra 7 155U/16GB/512GB/Win11 (21M7004UVN),28790000,27790000,47,14,1.7,ddr5,155u,lenovo,219.3,313,4.8,12,5600,60,2,card tích hợp,17.99,0,Full HD
0220042002724__l201_20250402-105034,Laptop Lenovo ThinkBook 16 G7 Ultra 5 125U/16GB/512GB/Win11 (21MS007GVN),23690000,22190000,45,14,1.3,ddr5,125u,lenovo,253.5,356,4.3,12,5600,60,2,card tích hợp,17.5,0,Full HD
0220042002725__l116_20250402-105034,Laptop Lenovo V14 G4 i7 1355U/16GB/512GB/Win11 (83A00012VN),19990000,17990000,38,12,1.7,ddr4,1355u,lenovo,215.2,324.2,5,10,3200,60,2,card tích hợp,19.9,0,HD
0220042002727__l184_20250402-105034,Laptop HP Envy x360 14 fc0094TU Ultra 5 125U/16GB/512GB/Win11 (A19C4PA),29490000,26190000,59,14,1.3,lpddr5,125u,hp,218.9,313.3,4.3,12,6400,60,0,card tích hợp,16.9,0,Full HD
0220042002728__l217_20250402-105034,Laptop HP Envy x360 14 fc0089TU Ultra 7 155U/16GB/512GB/Win11 (A19BZPA),33490000,30890000,59,14,1.7,lpddr5,155u,hp,218.9,313.3,4.8,12,6400,60,0,card tích hợp,16.9,0,Full HD
0220042002733__l52_20250402-105034,Laptop HP Pavilion X360 14 ek2024TU Core 5 120U/16GB/512GB/Win11 (9Z2V6PA),24990000,23990000,43,12,1.4,ddr4,120u,hp,210,322,5,10,3200,60,0,card tích hợp,18.9,0,Full HD
0220042002734__l70_20250402-105034,Laptop HP Pavilion X360 14 ek2027TU Core 7 150U/16GB/512GB/Win11 (9Z2V9PA),28290000,27190000,43,12,1.8,ddr4,150u,hp,210,322,5.4,10,3200,60,0,card tích hợp,18.9,0,Full HD
0220042002735__l249_20250402-105034,Laptop HP Envy X360 14 fc0083TU Ultra 7 155U/32GB/1TB/Touch/Pen/Win11 (A19BSPA),36590000,35190000,59,14,1.7,lpddr5,155u,hp,218.9,313.3,4.8,12,6400,60,0,card tích hợp,16.9,0,Full HD
0220042002736__l18_20250402-105034,Laptop Acer Aspire Lite 14 51M 36MH i3 1215U/8GB/256GB/Win11 (NX.KTVSV.001),10490000,9990000,58,8,1.2,ddr5,1215u,acer,218,313.3,4.4,6,4800,60,2,card tích hợp,16.9,0,Full HD
0220042002737__l12_20250402-105034,Laptop Acer Aspire Lite 14 51M 36PN i3 1215U/8GB/512GB/Win11 (NX.KTWSV.001),10990000,10390000,58,8,1.2,ddr5,1215u,acer,218,313.3,4.4,6,4800,60,2,card tích hợp,16.9,0,Full HD
0220042002751__l219_20250402-105034,Laptop HP Probook 450 G10 i5 1335U/16GB/512GB/Win11 (9H1N5PT),22590000,21490000,51,12,1.3,ddr4,1335u,hp,233.9,359.4,4.6,10,3200,60,2,card tích hợp,19.9,0,HD
0220042002738__l167_20250402-105034,Laptop Dell Inspiron 16 5640 Core 7 150U/16GB/1TB/OfficeHS/Win11 (N5640-C7U161W11IBU),27490000,25990000,54,12,2.7,ddr5,150u,dell,249.52,356.78,5.4,10,5200,60,2,card tích hợp,17.37,0,Full HD
0220042002739__l252_20250402-105034,Laptop Dell Inspiron 16 5640 Core 7 150U/16GB/1TB/2GB MX570A/120Hz/OfficeHS/Win11 (N6I7512W1),34690000,32490000,54,12,1.8,ddr5,150u,dell,249.52,356.78,5.4,10,5200,120,2,card rời,17.37,2,Full HD
0220042002741__l179_20250402-105034,Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H/16GB/512GB/Win11 (83DA001NVN),22690000,20190000,57,18,1.2,lpddr5,125h,lenovo,221,312,4.5,14,7467,60,0,card tích hợp,16.9,0,Full HD
0220042002742__l26_20250402-105034,Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/24GB/512GB/6GB RTX3050/144Hz/Win11 (83GS00D9VN),25490000,22690000,60,12,2.4,ddr5,12450hx,lenovo,258.7,359.86,4.4,8,4800,144,2,card rời,23.9,6,HD
0220042002808__l30_20250402-105034,Laptop HP 240 G9 i3 1215U/8GB/512GB/Win11 (AG2J5AT),13690000,11190000,41,8,1.2,ddr4,1215u,hp,225.9,324,4.4,6,3200,60,2,card tích hợp,19.9,0,HD
0220042002744__l62_20250402-105034,Laptop HP 15 fd1063TU Ultra 5 125H/16GB/512GB/Win11 (9Z2Y1PA),20990000,18690000,41,18,1.2,ddr5,125h,hp,236,359.8,4.5,14,5600,60,2,card tích hợp,18.6,0,HD
0220042002745__l1_20250402-105034,Laptop HP 15 fc0085AU R5 7430U/16GB/512GB/Win11 (A6VV8PA),15190000,13690000,41,12,2.3,ddr4,7430u,hp,236,359.8,4.3,6,3200,60,2,card tích hợp,18.6,0,HD
0220042002746__l257_20250402-105034,Laptop MSI Gaming Cyborg 15 A13VFK i7 13620H/16GB/512GB/8GB RTX4060/144Hz/Win11 (876VN),30990000,29990000,53.5,16,2.4,ddr5,13620h,msi,250.34,359.36,4.9,10,5200,144,2,card rời,22.9,8,HD
0220042002747__l277_20250402-105034,Laptop MSI Gaming Katana A15 AI B8VG R9 8945HS/16GB/1TB/8GB RTX4070/144Hz/Balo/Lót chuột/Chuột/Win11 (466VN),41990000,40990000,53.5,16,4,ddr5,8945hs,msi,259,359,5.2,8,5600,144,2,card rời,24.9,8,HD
0220042002750__l132_20250402-105034,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (9T2G2PT),19590000,15890000,41.04,12,1.3,ddr4,1235u,hp,225.9,324,4.4,10,3200,60,2,card tích hợp,19.9,0,HD
0220042002752__l220_20250402-105034,Laptop HP Probook 450 G10 i7 1355U/16GB/512GB/Win11 (9H8H1PT),26990000,24990000,51,12,1.7,ddr4,1355u,hp,233.9,359.4,5,10,3200,60,2,card tích hợp,19.9,0,HD
0220042002753__l145_20250402-105034,Laptop HP Elitebook 630 G10 i7 1355U/16GB/512GB/Win11 (9H1N9PT),27790000,27490000,42,12,1.7,ddr4,1355u,hp,208.4,306.9,5,10,3200,60,2,card tích hợp,15.9,0,HD
0220042002756__l146_20250402-105034,Laptop Acer Swift Go 14 41 R251 R5 7430U/16GB/1TB/Win11 (NX.KG3SV.005),19490000,18190000,50,12,2.3,lpddr4,7430u,acer,211.72,321.71,4.3,6,4800,60,0,card tích hợp,15.9,0,Full HD
0220042002757__l218_20250402-105034,Laptop Acer Aspire 5 A515 58M 79R7 i7 13620H/16GB/512GB/Win11 (NX.KQ8SV.007),20990000,17990000,50,16,2.4,lpddr5,13620h,acer,237.5,362.9,4.9,10,4800,60,0,card tích hợp,17.9,0,Full HD
0220042002758__l92_20250402-105034,Laptop Acer Aspire Lite AL16 51P 596H i5 1235U/8GB/512GB/Win11 (NX.KWZSV.002),13990000,12490000,58,12,1.3,ddr5,1235u,acer,247,357.6,4.4,10,4800,60,2,card tích hợp,18.9,0,Full HD
0220042002759__l129_20250402-105034,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5340W1),19990000,18490000,41,12,1.3,ddr4,1334u,dell,235.56,358.5,4.6,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002762__l125_20250402-105034,Laptop MSI Modern 14 C13M i5 1335U/16GB/512GB/Win11 (611VN),18490000,14190000,39.3,12,1.3,ddr4,1335u,msi,223,319.9,4.6,10,3200,60,0,card tích hợp,19.35,0,HD
